Main Topics,Subtopics,Details,Links,Video Links
Greedy Algorithms,Greedy Algorithm Introduction,Intro to Greedy,,https://youtu.be/ofaNk7NerW8
,,Q. Activity Selection Problem,https://www.geeksforgeeks.org/problems/activity-selection-1587115620/1,
,,Q. Non Overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals/description/,
,,Q. Minimum Number of Arrows to burst balloons,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/description/,
,,Q. Job Sequencing problem,https://www.geeksforgeeks.org/problems/job-sequencing-problem-1587115620/1,
,,Q. Assign mice to Holes,https://www.geeksforgeeks.org/problems/assign-mice-holes3053/0,
,,Q. Police and Thieves,https://www.geeksforgeeks.org/problems/police-and-thieves--141631/1,
,,Q. Fractional Knapsack,https://www.geeksforgeeks.org/problems/fractional-knapsack-1587115620/1,
,,Q. Maximum units on a truck,https://leetcode.com/problems/maximum-units-on-a-truck/description/,
,,Q. Maximum Bags with full capacity of rocks,https://leetcode.com/problems/maximum-bags-with-full-capacity-of-rocks/description/,
,,Q. Jump Game 1,https://leetcode.com/problems/jump-game/description/,
,,Q. Jump Game 2,https://leetcode.com/problems/jump-game-ii/description/,
Stack,Stack Basics,Stack,,https://youtu.be/TpuQWpma7ug
,,Stack using Arrays,,
,Questions on stack,Q. Valid parenthesis,https://leetcode.com/problems/valid-parentheses/description/,https://youtu.be/CNOoP25NpfQ
,,Q. Count the Reversals,https://www.geeksforgeeks.org/problems/count-the-reversals0401/1,https://youtu.be/FB6wSdPjVGw
,,Q. Add minimum brackets to balance string,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/description/,https://youtu.be/BNFBv1KtcDM
,,Q. Swap minimum brackets to balance string,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced/description/,https://youtu.be/RZTapGf3pzI
,,Q. Swap adjacent brackets to balance string,https://www.geeksforgeeks.org/problems/minimum-swaps-for-bracket-balancing2704/1,https://youtu.be/U48xDsqb8OE
,,Q. Asteroid Collision,https://leetcode.com/problems/asteroid-collision/description/,https://youtu.be/OtddlksWtS4
,Monotonic Stack,Q. Stock Span Problem,https://leetcode.com/problems/online-stock-span/description/,https://youtu.be/1_Bbq5qOraY
,,Q. Next Greater element,https://www.geeksforgeeks.org/problems/next-larger-element-1587115620/1,https://youtu.be/8P3e34EgVyY
,,Q. Next Smaller element,https://www.geeksforgeeks.org/problems/help-classmates--141631/1,https://youtu.be/MqQchOMmTGY
,,Q. Next Greater / Smaller element in circular array,https://leetcode.com/problems/next-greater-element-ii/description/,https://youtu.be/ahlaBL4gG1s
,,Q. Largest Rectangle in Histogram + Previous smaller element,https://leetcode.com/problems/largest-rectangle-in-histogram/description/,https://youtu.be/qUS-DZU4fj4
,,Q. Max Rectangle,https://leetcode.com/problems/maximal-rectangle/description/,https://youtu.be/DPkDmhCyyuc
,,Q. Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses/description/,https://youtu.be/gqQsbdTcey0
Queue,Queue Basics,Queue,,https://youtu.be/0tcmpUc2suo
,,Queue using Array,,
,,Circular Queue ,,
,,Double ended Queue (Deque),,
,,Restricted Deque,,
,Design questions,Q. Implement queue using stack ,Video-only problem,https://youtu.be/Enygu8ivr0w?si=SgzjEHke5oc_cwdk
,,Q. Implement stack using queue,Video-only problem,https://youtu.be/z4FxPUgXn90?si=86tva8iOIGV5E74n
,Questions on queue,Q. Number of Students Unable to Eat Lunch,https://leetcode.com/problems/number-of-students-unable-to-eat-lunch/description/,https://youtu.be/vlt2S8xb5vk
,,Q. Time Needed to Buy Tickets,https://leetcode.com/problems/time-needed-to-buy-tickets/description/,https://youtu.be/cS0I2aPiL-0
String Manipulation,Problems on strings,Q. Print all substrings,Video-only problem,https://youtu.be/I1rgYRi1tXE
,,Q. Reverse a string,Video-only problem,https://youtu.be/m9QAjIVnmp4
,,Q. Check if a string is pallindrome,https://www.geeksforgeeks.org/problems/palindrome-string0817/1,https://youtu.be/-HGtMO4MkWs
,,Q. Reverse words in a String,https://leetcode.com/problems/reverse-words-in-a-string/description/,https://youtu.be/KhNAMB3jDOU
,,Q. Check if two strings are anagram,https://www.geeksforgeeks.org/problems/anagram-1587115620/1,https://youtu.be/SFF3ND7TPc0
,,Q. Reverse Words in a String -iii,https://leetcode.com/problems/reverse-words-in-a-string-iii/,https://youtu.be/ajhV7EYLfOY
,,Q. Longest Pallindrome,https://leetcode.com/problems/longest-palindrome/description/,https://youtu.be/Rbf3StOcRo0?si=k7VfhrhUbjsSTX2I
,,Q. Find all Anagrams,https://leetcode.com/problems/find-all-anagrams-in-a-string/description/,https://youtu.be/tRk9czx6ucg
,,Q. K-Anagrams,https://www.geeksforgeeks.org/problems/check-if-two-strings-are-k-anagrams-or-not/1,https://youtu.be/j-P0DOuCFPo
,,Q. Roman to Integer,https://leetcode.com/problems/roman-to-integer/description/,https://youtu.be/S5lu7rLrZ5g
,,Q. Isomorphic String checker,https://leetcode.com/problems/isomorphic-strings/description/,https://youtu.be/TKGEUoVwdOk?si=4r_3bxXC17CKr5Oc
String Pattern Matching,Pattern Matching Algorithms,KMP Algorithm,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/description/,https://youtu.be/xDlueq2XUEY
,,Rabin Karp,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/description/,https://youtu.be/_Rya-4PiHhU
Linked List,Linked List Data Structure,Intro to linked list Data Structure,,https://youtu.be/cf4RNGYI6hk?si=aY6v4j2CUzgaPlpm
,,Types of linked list,,
,,All operations of Single linked list,,
,,Time Complexity,,
,,Applications of linked list,,
,,Implementation of linked list data structure,,
,Doubly Linked List,Intro to Doubly linked list,,https://youtu.be/JxIC0XeTl4Y?si=5HZNJ_-u8IqktXam
,,All operations and their time complexity,,
,,Implementation of linked list,,
,Questions on Linked List,Q. Find Middle of Linked List (Hare Tortoise Algorithm),https://leetcode.com/problems/middle-of-the-linked-list/description/,https://youtu.be/NUbqd8-lHl4?si=gByqGlulWwtiPV__
,,Q. Delete Middle of Linked list,https://leetcode.com/problems/delete-the-middle-node-of-a-linked-list/description/,https://youtu.be/uLlJJHpq7hw?si=Fm2c_sOMqUx5QPqP
