index,questionNo,title,difficulty,acceptance,link,youtubeLink
101,648',Replace Words',Medium',68.6%',https://leetcode.com/problems/replace-words',https://youtu.be/9ryPEEudxbo?si=OdaMyqCKy0nWHQzZ
102,79',Word Search',Medium',46.5%',https://leetcode.com/problems/word-search',https://youtu.be/HBboUqC-rZ0?si=QQ3Uivd7nXN2yUJV
103,200',Number of Islands',Medium',63.5%',https://leetcode.com/problems/number-of-islands',https://youtu.be/mwsuv-S1biw?si=HiP1NNvwTTCi7t1d
104,1219',Path with Maximum Gold',Medium',68.2%',https://leetcode.com/problems/path-with-maximum-gold',https://youtu.be/35TyXHK9TGY?si=qeECJKD3Ir8ba-I7
105,1791',Find Center of Star Graph',Easy',86.7%',https://leetcode.com/problems/find-center-of-star-graph',https://youtu.be/bEzD_V6Uhss?si=LiAM6N8YoCrGQn5E
106,1579',Remove Max Number of Edges to Keep Graph Fully Traversable',Hard',70.3%',https://leetcode.com/problems/remove-max-number-of-edges-to-keep-graph-fully-traversable',https://youtu.be/IaOFnmCTRJ8?si=HJbBqkSDa5pC1yHG
107,959',Regions Cut By Slashes',Medium',77.6%',https://leetcode.com/problems/regions-cut-by-slashes',https://youtu.be/LBwIhde7pvc?si=O-MyTRMud9XcRk3H
108,2045',Second Minimum Time to Reach Destination',Hard',62.4%',https://leetcode.com/problems/second-minimum-time-to-reach-destination',https://youtu.be/vzaCELcnIBg?si=P1rqy9iIju510lCF
109,1514',Path with Maximum Probability',Medium',65.4%',https://leetcode.com/problems/path-with-maximum-probability',https://youtu.be/LpsYzLleW1E?si=nutCbCXIrD3yTnHu
110,1905',Count Sub Islands',Medium',72.9%',https://leetcode.com/problems/count-sub-islands',https://youtu.be/eQAEwsct794?si=0alzL93yfsOKIEMh
111,3014',Minimum Number of Pushes to Type Word I',Easy',66.7%',https://leetcode.com/problems/minimum-number-of-pushes-to-type-word-i',TBD
112,3016',Minimum Number of Pushes to Type Word II',Medium',79.9%',https://leetcode.com/problems/minimum-number-of-pushes-to-type-word-ii',https://youtu.be/j2zyVaWqF20?si=crc-J6QDKfIu9KPW
113,948',Bag of Tokens',Medium',59.4%',https://leetcode.com/problems/bag-of-tokens',https://youtu.be/XIgqe-9IRyk?si=x8S33OIhJPekp1D6
114,881',Boats to Save People',Medium',61.1%',https://leetcode.com/problems/boats-to-save-people',https://youtu.be/buHW-0IN184?si=mNi3lCALhK6o9QmW
